ax,ay,az,gx,gy,gz
-0.063,-0.026,1.177,-1.534,0.069,-2.145
-0.051,-0.029,1.175,-1.466,0.145,-2.252
-0.060,-0.036,1.179,-1.389,0.511,-1.977
-0.059,-0.033,1.180,-1.565,0.305,-2.145
-0.058,-0.037,1.171,-1.573,0.183,-2.069
-0.054,-0.032,1.174,-1.573,0.511,-2.084
-0.056,-0.029,1.176,-1.389,-0.031,-2.115
-0.062,-0.030,1.171,-1.435,0.115,-2.099
-0.057,-0.039,1.166,-1.595,0.275,-2.298
-0.059,-0.027,1.173,-1.466,0.092,-2.099
-0.061,-0.026,1.177,-1.321,0.038,-2.053
-0.056,-0.021,1.166,-1.435,0.252,-2.145
-0.057,-0.029,1.177,-1.466,0.664,-2.069
-0.057,-0.032,1.174,-1.458,0.252,-2.008
-0.063,-0.040,1.170,-1.168,0.366,-2.031
-0.058,-0.032,1.164,-1.443,0.214,-2.176
-0.057,-0.028,1.171,-1.550,-0.160,-2.214
-0.062,-0.031,1.168,-1.298,0.160,-2.076
-0.055,-0.029,1.173,-1.313,0.557,-1.931
-0.059,-0.033,1.167,-1.321,0.473,-2.046
-0.056,-0.029,1.179,-1.420,1.153,-1.908
-0.064,-0.029,1.173,-1.221,0.870,-2.107
-0.056,-0.026,1.168,-1.405,1.053,-2.145
-0.059,-0.035,1.167,-1.359,1.450,-1.947
-0.056,-0.031,1.175,-1.252,0.740,-2.031
-0.061,-0.029,1.172,-1.557,0.817,-2.084
-0.061,-0.033,1.165,-1.405,0.718,-2.038
-0.058,-0.026,1.165,-1.374,1.053,-2.000
-0.053,-0.022,1.181,-1.305,1.107,-1.954
-0.060,-0.028,1.182,-1.496,2.000,-1.969
-0.060,-0.028,1.174,-1.725,2.221,-2.031
-0.055,-0.032,1.167,-2.023,1.802,-2.206
-0.062,-0.029,1.173,-2.237,2.557,-1.985
-0.064,-0.035,1.164,-2.557,2.466,-2.092
-0.073,-0.117,1.164,-2.496,3.397,-1.947
-0.080,-0.004,1.173,-3.855,3.198,-0.992
-0.111,0.000,1.178,-3.183,4.252,1.351
-0.080,-0.048,1.197,-2.344,2.336,2.031
-0.023,-0.059,1.141,-2.542,1.748,2.053
-0.066,-0.059,1.180,-1.740,1.443,0.282
-0.053,-0.063,1.164,-1.244,1.496,-0.901
-0.060,-0.032,1.170,-1.550,2.229,-1.870
-0.078,-0.024,1.175,-1.611,1.046,-1.901
-0.064,-0.028,1.169,-1.878,-1.435,-1.863
-0.065,-0.028,1.170,-1.313,-0.687,-1.611
-0.059,-0.031,1.171,-0.908,1.321,-1.534
-0.063,-0.031,1.172,-1.092,0.809,-1.847
0.003,-0.023,1.110,-1.153,1.252,-1.977
-0.066,-0.027,1.177,-1.015,0.282,-1.740
-0.059,-0.033,1.170,-1.099,0.038,-1.718
-0.067,-0.027,1.168,-0.985,-0.053,-1.740
-0.061,-0.035,1.161,-1.137,0.374,-1.908
-0.064,-0.034,1.173,-1.076,0.336,-1.702
-0.062,-0.036,1.167,-1.069,0.511,-1.863
-0.064,-0.029,1.175,-1.069,0.489,-1.985
-0.068,-0.030,1.168,-1.282,0.473,-2.000
-0.059,-0.029,1.175,-0.924,0.038,-1.718
-0.065,-0.038,1.175,-1.305,0.176,-1.916
-0.064,-0.033,1.162,-1.298,0.565,-1.901
-0.060,-0.036,1.166,-1.137,0.405,-1.779
-0.066,-0.037,1.170,-1.191,0.481,-2.023
-0.064,-0.032,1.163,-1.267,0.267,-1.771
-0.064,-0.029,1.163,-1.076,0.107,-1.947
-0.070,-0.026,1.168,-1.305,0.038,-2.153
-0.063,-0.033,1.170,-1.397,0.229,-2.053
-0.072,-0.027,1.166,-1.397,0.405,-2.053
-0.069,-0.032,1.171,-1.336,0.275,-2.023
-0.063,-0.039,1.173,-1.275,0.412,-1.855
-0.068,-0.032,1.160,-1.160,0.550,-1.733
-0.052,-0.033,1.162,-1.351,0.817,-1.939
-0.065,-0.028,1.161,-1.458,0.672,-1.855
-0.061,-0.032,1.167,-1.405,0.656,-2.008
-0.059,-0.028,1.165,-1.405,0.023,-1.977
-0.067,-0.035,1.171,-1.466,0.252,-2.069
-0.062,-0.032,1.167,-1.336,0.321,-2.145
-0.068,-0.030,1.174,-1.313,0.115,-2.076
-0.066,-0.031,1.177,-1.168,0.382,-1.901
-0.072,-0.031,1.167,-1.244,0.511,-1.939
-0.067,-0.038,1.172,-1.565,0.229,-1.939
-0.063,-0.030,1.173,-1.473,0.305,-2.000
-0.065,-0.034,1.168,-1.634,0.374,-2.069
-0.062,-0.031,1.167,-1.420,0.305,-1.870
-0.120,0.005,1.178,-1.046,2.405,-1.160
-0.088,-0.036,1.214,-6.527,10.031,-2.183
-0.047,-0.045,1.140,-5.099,6.718,-1.351
-0.060,-0.007,1.142,-1.710,-2.099,-1.389
0.679,-0.778,1.645,-3.611,-39.046,-19.977
0.217,-0.141,1.264,7.153,49.000,-51.534
0.112,0.239,1.222,10.099,20.977,-80.573
-1.030,0.667,0.878,8.084,-45.107,36.687
-0.626,0.001,1.220,9.710,-59.443,113.366
-0.098,0.061,1.101,28.366,-5.260,112.443
-0.416,-0.115,1.304,15.099,-6.695,100.344
-0.627,-0.064,1.157,6.931,-35.206,108.336
-0.516,0.083,1.313,9.053,-50.412,102.527
-0.251,-0.212,1.485,17.824,-76.221,104.107
0.120,-0.326,1.475,30.710,-110.740,63.550
0.388,-0.268,1.610,48.710,-136.366,6.855
0.484,-0.125,1.687,74.061,-176.771,-33.153
0.477,0.076,1.485,82.336,-222.649,-41.046
0.202,-0.032,1.415,83.878,-250.137,-57.809
0.267,0.001,1.400,90.641,-250.137,-74.634
0.287,0.042,1.290,98.618,-250.137,-81.740
0.297,0.138,1.227,113.573,-250.137,-84.153
0.336,0.193,1.129,123.947,-250.137,-75.611
0.343,0.190,1.044,133.214,-250.137,-63.145
0.444,0.194,0.787,142.389,-250.137,-52.229
0.519,0.200,0.822,149.420,-250.137,-49.893
0.583,0.184,0.575,157.527,-250.137,-53.779
0.530,0.244,0.717,158.237,-227.069,-42.076
0.535,0.310,0.778,159.420,-189.687,-28.321
0.470,0.476,0.762,164.901,-203.679,-18.374
0.613,0.500,0.675,168.580,-217.656,-12.618
0.739,0.445,0.687,169.221,-207.374,-18.809
0.843,0.448,0.437,158.573,-167.786,-12.771
0.777,0.617,0.398,122.832,-122.847,1.237
0.700,0.590,0.631,73.389,-103.550,24.878
0.701,0.472,0.760,42.420,-127.664,24.122
0.675,0.444,0.698,19.908,-134.198,12.557
0.649,0.454,0.630,4.542,-133.069,0.466
0.703,0.487,0.528,-3.374,-123.328,-3.313
0.819,0.512,0.479,-7.237,-88.817,2.305
0.865,0.523,0.436,-11.557,-62.153,9.573
0.854,0.518,0.427,-11.672,-45.534,16.817
0.874,0.515,0.416,-8.908,-29.962,21.305
0.868,0.538,0.413,-6.901,-15.290,25.802
0.855,0.523,0.407,-5.183,3.992,28.076
0.822,0.478,0.464,-6.832,18.832,29.321
0.812,0.480,0.424,-11.985,12.527,29.160
0.820,0.459,0.440,-16.000,11.603,29.351
0.860,0.425,0.444,-16.931,11.618,31.626
0.843,0.374,0.440,-14.374,12.748,35.885
0.838,0.368,0.418,-9.221,24.183,41.763
0.863,0.361,0.422,-6.076,31.244,45.496
0.842,0.348,0.485,-2.618,32.901,45.420
0.876,0.334,0.539,0.229,33.824,43.420
0.888,0.337,0.564,-1.305,41.702,47.336
0.912,0.312,0.554,-5.626,62.534,55.420
0.879,0.316,0.549,-12.183,90.977,58.977
0.870,0.316,0.558,-18.267,126.763,59.275
0.867,0.254,0.613,-24.244,146.214,58.695
0.887,0.271,0.609,-28.718,155.924,59.305
0.878,0.272,0.617,-30.748,173.802,61.779
0.848,0.276,0.632,-28.450,202.809,67.176
0.809,0.238,0.639,-25.244,236.809,73.824
0.795,0.167,0.699,-21.916,250.130,73.282
0.687,0.204,0.757,-24.443,250.130,71.046
0.666,0.225,0.739,-28.130,234.000,65.588
0.592,0.125,0.741,-31.336,212.626,57.237
0.543,0.056,0.789,-33.351,198.542,40.595
0.519,0.097,0.779,-34.061,207.389,14.115
0.528,0.165,0.752,-37.847,243.000,-5.008
0.594,0.122,0.737,-45.527,250.130,-16.313
0.525,0.036,0.799,-53.107,250.130,-26.374
0.424,-0.020,0.875,-57.847,250.130,-37.511
0.378,-0.002,0.913,-60.061,250.130,-45.885
0.394,0.046,0.827,-45.557,250.130,-45.176
0.346,0.086,0.821,-13.496,250.130,-35.282
0.273,0.128,0.929,15.267,250.130,-24.870
0.162,0.119,1.114,26.336,250.130,-20.527
0.045,0.067,1.249,21.107,250.130,-24.153
-0.023,0.059,1.357,10.351,243.397,-28.740
-0.022,0.147,1.401,-8.771,234.718,-32.733
-0.026,0.240,1.420,-27.916,223.443,-30.496
-0.063,0.260,1.403,-39.870,201.771,-23.198
-0.089,0.207,1.331,-44.267,162.969,-15.237
-0.128,0.219,1.256,-41.977,129.641,-8.191
-0.211,0.229,1.147,-34.885,112.031,-1.031
-0.271,0.144,1.013,-32.786,145.061,-0.679
-0.425,0.064,1.022,-35.672,194.679,-7.183
-0.531,0.018,1.010,-40.244,238.710,-21.901
-0.623,0.026,1.054,-42.534,250.130,-38.496
-0.599,0.078,1.087,-46.214,250.130,-52.359
-0.571,0.067,1.086,-51.672,250.130,-55.634
-0.606,0.095,1.107,-53.664,250.130,-56.656
-0.545,0.046,0.992,-58.145,250.130,-45.809
-0.613,0.022,0.935,-60.015,250.130,-36.565
-0.815,-0.078,0.854,-58.794,250.130,-36.145
-0.997,-0.209,0.741,-57.420,250.130,-46.427
-1.069,-0.323,0.629,-55.038,250.130,-67.015
-1.027,-0.276,0.542,-50.153,250.130,-85.031
-0.826,-0.074,0.572,-41.519,250.130,-91.298
