ax,ay,az,gx,gy,gz
-0.072,-0.030,1.172,-1.580,0.504,-2.069
-0.073,-0.027,1.178,-1.473,-0.580,-1.947
-0.072,-0.030,1.173,-1.405,-0.130,-2.214
-0.072,-0.039,1.170,-1.626,0.489,-2.099
-0.073,-0.029,1.168,-1.313,0.260,-2.137
-0.067,-0.025,1.177,-1.786,0.122,-2.321
-0.069,-0.035,1.171,-1.282,0.382,-1.969
-0.073,-0.031,1.167,-1.573,0.466,-2.191
-0.072,-0.031,1.171,-1.649,0.641,-2.122
-0.070,-0.026,1.170,-1.366,0.634,-1.947
-0.072,-0.025,1.164,-1.656,0.160,-2.153
-0.071,-0.032,1.173,-1.244,0.496,-2.069
-0.075,-0.029,1.169,-1.137,0.305,-1.954
-0.081,-0.031,1.167,-1.267,0.328,-2.015
-0.073,-0.029,1.163,-1.382,0.298,-2.076
-0.074,-0.035,1.171,-1.710,0.260,-2.153
-0.067,-0.032,1.178,-1.359,0.473,-2.015
-0.071,-0.032,1.174,-1.634,0.176,-2.160
-0.075,-0.035,1.170,-1.748,0.275,-2.191
-0.078,-0.027,1.173,-1.603,0.336,-2.130
-0.068,-0.031,1.165,-1.282,0.061,-1.954
-0.075,-0.034,1.168,-1.580,0.397,-2.221
-0.065,-0.030,1.167,-1.374,0.038,-2.214
-0.074,-0.035,1.171,-1.534,0.412,-2.176
-0.068,-0.027,1.170,-1.603,0.382,-2.092
-0.074,-0.035,1.173,-1.382,0.260,-2.061
0.045,-0.003,1.001,-6.931,14.733,-2.153
0.013,-0.068,1.100,-3.847,15.130,-1.473
-0.148,-0.053,1.167,-1.511,-2.679,-2.137
-0.049,-0.038,1.182,-2.496,9.748,-2.069
0.282,0.050,1.357,-6.702,-32.893,-19.969
0.555,-0.212,0.982,5.847,25.565,-67.237
0.148,0.091,1.304,12.130,10.702,-105.450
-0.238,0.366,1.333,15.099,-4.977,-113.885
-0.566,-0.259,0.826,-14.282,14.901,-1.519
-0.170,-0.143,1.117,-4.763,2.595,25.466
-0.229,0.019,1.143,-3.313,8.275,7.550
-0.058,-0.128,1.247,-5.229,36.573,13.893
-0.301,0.016,1.260,-0.359,-5.924,18.466
0.075,-0.065,1.139,2.053,-5.679,11.481
0.082,0.085,0.700,2.817,19.221,34.588
-0.195,0.064,1.245,13.153,-8.908,26.550
-0.636,0.140,1.090,1.931,-55.015,61.496
-0.405,0.081,1.037,-3.992,-23.137,96.710
-0.465,0.005,1.240,3.641,-11.137,137.443
-0.106,-0.266,1.365,21.427,11.229,124.802
0.286,-0.471,1.467,58.740,42.947,78.878
0.223,-0.374,1.649,83.382,29.435,34.504
0.124,-0.156,1.320,93.649,-1.817,19.893
0.133,0.061,1.175,97.870,10.305,2.328
-0.017,0.137,1.223,99.252,16.244,0.160
-0.105,0.185,1.208,104.794,11.443,5.969
-0.088,0.138,0.954,100.260,54.183,11.145
-0.194,0.207,1.100,91.160,122.336,17.351
-0.308,0.264,1.098,78.786,143.985,32.298
-0.344,0.264,1.181,73.214,137.931,41.588
-0.355,0.258,1.224,76.687,131.336,39.298
-0.254,0.185,0.942,78.710,161.137,34.962
-0.357,0.180,0.985,55.916,250.130,28.069
-0.591,0.159,0.799,11.931,250.130,16.718
-0.845,0.072,0.810,-3.733,250.130,-8.656
-0.812,0.194,0.898,-3.573,250.130,-39.611
-0.790,0.187,1.001,-0.496,250.130,-58.786
-0.683,0.210,1.048,-4.389,250.130,-62.534
-0.681,0.238,1.307,-12.084,250.130,-57.191
-0.568,0.248,1.043,-21.084,250.130,-51.038
-0.590,0.189,0.847,-28.053,250.130,-48.878
-0.779,0.240,0.571,-38.237,250.130,-43.687
-1.034,0.184,0.328,-47.244,250.130,-48.183
-1.276,0.125,0.215,-43.870,250.130,-63.405
-1.361,0.054,0.145,-20.542,250.130,-89.260
-1.374,0.021,0.245,15.344,250.130,-114.985
-1.400,0.074,0.260,42.160,250.130,-130.145
-1.375,0.146,0.333,57.832,250.130,-139.634
-1.294,0.217,0.371,59.878,250.130,-142.664
-1.250,0.116,0.327,54.427,250.130,-152.099
-1.031,0.066,0.393,50.198,250.130,-159.573
-0.789,0.156,0.434,37.817,250.130,-147.595
-0.672,0.130,0.324,19.229,200.000,-122.168
-0.641,0.033,0.181,-0.458,126.206,-102.031
-0.587,-0.002,-0.020,-26.305,82.626,-85.458
-0.690,-0.040,-0.096,-52.504,76.763,-71.634
-0.854,0.004,-0.162,-75.076,70.824,-53.618
-0.930,-0.013,-0.123,-96.863,77.038,-38.008
-1.011,0.013,-0.069,-121.511,60.344,-31.038
-1.073,0.014,-0.182,-146.893,34.183,-30.290
-1.174,-0.074,-0.198,-164.878,22.893,-35.580
-1.190,-0.114,-0.261,-173.855,25.847,-42.305
-1.234,-0.050,-0.265,-170.977,3.824,-49.718
-1.218,-0.081,-0.348,-167.901,0.832,-59.840
-1.163,-0.100,-0.298,-162.603,-2.580,-75.756
-1.049,-0.091,-0.370,-151.374,-19.450,-89.565
-1.010,-0.082,-0.341,-137.298,-25.221,-95.702
